Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1952,1952-03-07,Fri,CTOURN,H,West Virginia,W,90,88,NA
1952,1952-03-08,Sat,CTOURN,A,North Carolina State,L,68,77,NA
1953,1952-12-01,Mon,REG,H,Vanderbilt,W,94,88,NA
1953,1952-12-06,Sat,REG,H,Wake Forest,L,86,91,NA
1953,1952-12-09,Tue,REG,A,Washington & Lee,W,91,80,NA
1953,1952-12-13,Sat,REG,A,Tennessee,W,89,82,NA
1953,1952-12-16,Tue,REG,H,Davidson,W,94,65,NA
1953,1952-12-20,Sat,REG,A,Temple,L,64,67,NA
1953,1952-12-22,Mon,REG,A,George Washington,L,87,113,NA
1953,1952-12-29,Mon,REG,H,Brigham Young,L,68,69,NA
1953,1952-12-30,Tue,REG,H,Pennsylvania,L,80,97,NA
1953,1952-12-31,Wed,REG,H,Princeton,W,74,59,NA
1953,1953-01-07,Wed,REG,A,South Carolina,W,76,67,NA
1953,1953-01-10,Sat,REG,H,North Carolina State,L,64,82,NA
1953,1953-01-13,Tue,REG,H,Virginia Military Institute,W,78,55,NA
1953,1953-01-31,Sat,REG,H,Navy,W,78,73,NA
1953,1953-02-03,Tue,REG,H,West Virginia,W,91,86,NA
1953,1953-02-05,Thu,REG,H,New York University,W,89,82,NA
1953,1953-02-06,Fri,REG,A,North Carolina,W,95,89,NA
1953,1953-02-09,Mon,REG,H,George Washington,W,83,80,NA
1953,1953-02-12,Thu,REG,A,Wake Forest,W,101,99,OT
1953,1953-02-14,Sat,REG,A,North Carolina State,W,84,82,NA
1953,1953-02-19,Thu,REG,A,William & Mary,L,82,85,OT
1953,1953-02-21,Sat,REG,H,South Carolina,W,98,68,NA
1953,1953-02-23,Mon,REG,A,Davidson,W,99,72,NA
1953,1953-02-27,Fri,REG,H,North Carolina,W,83,58,NA
1953,1953-03-05,Thu,CTOURN,H,Maryland,L,65,74,NA
1954,1953-12-02,Wed,REG,H,Furman,W,110,76,NA
1954,1953-12-05,Sat,REG,H,Tennessee,W,101,61,NA
1954,1953-12-07,Mon,REG,A,Vanderbilt,L,66,71,NA
1954,1953-12-12,Sat,REG,H,William & Mary,W,109,44,NA
1954,1953-12-15,Tue,REG,H,Davidson,W,78,37,NA
1954,1953-12-19,Sat,REG,A,West Virginia,W,67,64,NA
1954,1953-12-21,Mon,REG,A,Kentucky,L,69,85,NA
1954,1953-12-22,Tue,REG,N,UCLA,L,67,72,NA
1954,1953-12-28,Mon,REG,H,Oregon State,W,71,61,NA
1954,1953-12-29,Tue,REG,N,Wake Forest,W,83,66,NA
1954,1953-12-30,Wed,REG,H,Navy,W,98,83,NA
1954,1954-01-02,Sat,REG,H,Virginia,W,86,64,NA
1954,1954-01-04,Mon,REG,A,South Carolina,W,89,69,NA
1954,1954-01-06,Wed,REG,H,Virginia Tech,W,82,45,NA
1954,1954-01-09,Sat,REG,H,North Carolina State,W,87,85,NA
1954,1954-01-12,Tue,REG,A,Wake Forest,L,89,96,NA
1954,1954-01-30,Sat,REG,A,Navy,W,82,65,NA
1954,1954-02-04,Thu,REG,H,North Carolina,W,63,47,NA
1954,1954-02-06,Sat,REG,H,George Washington,L,71,76,NA
1954,1954-02-09,Tue,REG,A,North Carolina State,W,90,89,NA
1954,1954-02-13,Sat,REG,A,Virginia Tech,W,107,53,NA
1954,1954-02-16,Tue,REG,A,Maryland,W,68,61,NA
1954,1954-02-20,Sat,REG,A,North Carolina,W,67,63,NA
1954,1954-02-23,Tue,REG,H,South Carolina,W,89,55,NA
1954,1954-02-26,Fri,REG,H,Wake Forest,W,90,81,NA
1954,1954-03-04,Thu,CTOURN,H,Virginia,W,96,68,NA
1954,1954-03-05,Fri,CTOURN,N,North Carolina State,L,75,79,NA
1955,1954-12-03,Fri,REG,H,Clemson,W,115,54,NA
1955,1954-12-07,Tue,REG,A,Maryland,L,47,49,NA
1955,1954-12-10,Fri,REG,H,South Carolina,W,95,55,NA
1955,1954-12-14,Tue,REG,A,Davidson,W,107,75,NA
1955,1954-12-17,Fri,REG,H,Maryland,W,68,61,NA
1955,1954-12-20,Mon,REG,A,Pittsburgh,W,90,68,NA
1955,1954-12-27,Mon,REG,H,West Virginia,W,92,79,NA
1955,1954-12-28,Tue,REG,H,Minnesota,L,73,79,NA
1955,1954-12-29,Wed,REG,N,North Carolina,L,52,65,NA
1955,1955-01-03,Mon,REG,H,Florida State,W,97,75,NA
1955,1955-01-05,Wed,REG,H,Temple,W,81,64,NA
1955,1955-01-08,Sat,REG,H,North Carolina State,L,91,96,NA
1955,1955-01-11,Tue,REG,A,Clemson,W,75,66,NA
1955,1955-01-12,Wed,REG,A,South Carolina,W,82,64,NA
1955,1955-01-15,Sat,REG,H,Virginia,W,109,89,NA
