Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
2008,33,3/15/2008,Sat,CTOURN,N,Virginia Tech,NA,ACC,W,68,66,NA,31,2,W 10,Bojangles Coliseum
2008,34,3/16/2008,Sun,CTOURN,N,Clemson,NA,ACC,W,86,81,NA,32,2,W 11,Bojangles Coliseum
2008,35,3/21/2008,Fri,NCAA,N,Mount St. Mary's,NA,NEC,W,113,74,NA,33,2,W 12,NA
2008,36,3/23/2008,Sun,NCAA,N,Arkansas,NA,SEC,W,108,77,NA,34,2,W 13,NA
2008,37,3/27/2008,Thu,NCAA,N,Washington State,21,Pac-10,W,68,47,NA,35,2,W 14,Times Warner Cable Arena
2008,38,3/29/2008,Sat,NCAA,N,Louisville,13,Big East,W,83,73,NA,36,2,W 15,NA
2008,39,4/5/2008,Sat,NCAA,N,Kansas,4,Big 12,L,66,84,NA,36,3,L 1,Alamodome
2009,1,11/15/2008,Sat,REG,H,Pennsylvania,NA,Ivy,W,86,71,NA,1,0,W 1,Dean Smith Center
2009,2,11/18/2008,Tue,REG,H,Kentucky,NA,SEC,W,77,58,NA,2,0,W 2,Dean Smith Center
2009,3,11/21/2008,Fri,REG,A,UC-Santa Barbara,NA,Big West,W,84,67,NA,3,0,W 3,The Thunderdome
2009,4,11/24/2008,Mon,REG,N,Chaminade,NA,NA,W,115,70,NA,4,0,W 4,Lahaina Civic Center
2009,5,11/25/2008,Tue,REG,N,Oregon,NA,Pac-10,W,98,69,NA,5,0,W 5,Lahaina Civic Center
2009,6,11/26/2008,Wed,REG,N,Notre Dame,8,Big East,W,102,87,NA,6,0,W 6,Lahaina Civic Center
2009,7,11/30/2008,Sun,REG,H,North Carolina-Asheville,NA,Big South,W,116,48,NA,7,0,W 7,Dean Smith Center
2009,8,12/3/2008,Wed,REG,N,Michigan State,13,Big Ten,W,98,63,NA,8,0,W 8,Ford Field
2009,9,12/13/2008,Sat,REG,H,Oral Roberts,NA,Summit,W,100,84,NA,9,0,W 9,Dean Smith Center
2009,10,12/18/2008,Thu,REG,H,Evansville,NA,MVC,W,91,73,NA,10,0,W 10,Dean Smith Center
2009,11,12/20/2008,Sat,REG,N,Valparaiso,NA,Horizon,W,85,63,NA,11,0,W 11,United Center
2009,12,12/28/2008,Sun,REG,H,Rutgers,NA,Big East,W,97,75,NA,12,0,W 12,Dean Smith Center
2009,13,12/31/2008,Wed,REG,A,Nevada,NA,WAC,W,84,61,NA,13,0,W 13,Lawlor Events Center
2009,14,1/4/2009,Sun,REG,H,Boston College,NA,ACC,L,78,85,NA,13,1,L 1,Dean Smith Center
2009,15,1/7/2009,Wed,REG,H,College of Charleston,NA,Southern,W,108,70,NA,14,1,W 1,Dean Smith Center
2009,16,1/11/2009,Sun,REG,A,Wake Forest,4,ACC,L,89,92,NA,14,2,L 1,Lawrence Joel Coliseum
2009,17,1/15/2009,Thu,REG,A,Virginia,NA,ACC,W,83,61,NA,15,2,W 1,John Paul Jones Arena
2009,18,1/17/2009,Sat,REG,H,Miami,NA,ACC,W,82,65,NA,16,2,W 2,Dean Smith Center
2009,19,1/21/2009,Wed,REG,H,Clemson,10,ACC,W,94,70,NA,17,2,W 3,Dean Smith Center
2009,20,1/28/2009,Wed,REG,A,Florida State,NA,ACC,W,80,77,NA,18,2,W 4,Donald L. Tucker Center
2009,21,1/31/2009,Sat,REG,A,North Carolina State,NA,ACC,W,93,76,NA,19,2,W 5,RBC Center
2009,22,2/3/2009,Tue,REG,H,Maryland,NA,ACC,W,108,91,NA,20,2,W 6,Dean Smith Center
2009,23,2/7/2009,Sat,REG,H,Virginia,NA,ACC,W,76,61,NA,21,2,W 7,Dean Smith Center
2009,24,2/11/2009,Wed,REG,A,Duke,6,ACC,W,101,87,NA,22,2,W 8,Cameron Indoor Stadium
2009,25,2/15/2009,Sun,REG,A,Miami,NA,ACC,W,69,65,NA,23,2,W 9,BankUnited Center
2009,26,2/18/2009,Wed,REG,H,North Carolina State,NA,ACC,W,89,80,NA,24,2,W 10,Dean Smith Center
2009,27,2/21/2009,Sat,REG,A,Maryland,NA,ACC,L,85,88,OT,24,3,L 1,Comcast Center
2009,28,2/28/2009,Sat,REG,H,Georgia Tech,NA,ACC,W,104,74,NA,25,3,W 1,Dean Smith Center
2009,29,3/4/2009,Wed,REG,A,Virginia Tech,NA,ACC,W,86,78,NA,26,3,W 2,Cassell Coliseum
2009,30,3/8/2009,Sun,REG,H,Duke,7,ACC,W,79,71,NA,27,3,W 3,Dean Smith Center
2009,31,3/13/2009,Fri,CTOURN,N,Virginia Tech,NA,ACC,W,79,76,NA,28,3,W 4,The Omni
2009,32,3/14/2009,Sat,CTOURN,N,Florida State,22,ACC,L,70,73,NA,28,4,L 1,The Omni
2009,33,3/19/2009,Thu,NCAA,N,Radford,NA,Big South,W,101,58,NA,29,4,W 1,Greensboro Coliseum
2009,34,3/21/2009,Sat,NCAA,N,Louisiana State,21,SEC,W,84,70,NA,30,4,W 2,NA
2009,35,3/27/2009,Fri,NCAA,N,Gonzaga,10,WCC,W,98,77,NA,31,4,W 3,NA
2009,36,3/29/2009,Sun,NCAA,N,Oklahoma,7,Big 12,W,72,60,NA,32,4,W 4,FedExForum
2009,37,4/4/2009,Sat,NCAA,N,Villanova,11,Big East,W,83,69,NA,33,4,W 5,Ford Field
2009,38,4/6/2009,Mon,NCAA,N,Michigan State,8,Big Ten,W,89,72,NA,34,4,W 6,NA
2010,1,11/9/2009,Mon,REG,H,Florida International,NA,Sun Belt,W,88,72,NA,1,0,W 1,Dean Smith Center
2010,2,11/11/2009,Wed,REG,H,North Carolina Central,NA,Ind,W,89,42,NA,2,0,W 2,Dean Smith Center
2010,3,11/15/2009,Sun,REG,H,Valparaiso,NA,Horizon,W,88,77,NA,3,0,W 3,Dean Smith Center
2010,4,11/19/2009,Thu,REG,N,Ohio State,15,Big Ten,W,77,73,NA,4,0,W 4,Madison Square Garden (IV)
2010,5,11/20/2009,Fri,REG,N,Syracuse,NA,Big East,L,71,87,NA,4,1,L 1,Madison Square Garden (IV)
2010,6,11/23/2009,Mon,REG,H,Gardner-Webb,NA,Big South,W,93,72,NA,5,1,W 1,Dean Smith Center
2010,7,11/29/2009,Sun,REG,H,Nevada,NA,WAC,W,80,73,NA,6,1,W 2,Dean Smith Center
2010,8,12/1/2009,Tue,REG,H,Michigan State,9,Big Ten,W,89,82,NA,7,1,W 3,Dean Smith Center
2010,9,12/5/2009,Sat,REG,A,Kentucky,5,SEC,L,66,68,NA,7,2,L 1,Rupp Arena
2010,10,12/12/2009,Sat,REG,H,Presbyterian,NA,Big South,W,103,64,NA,8,2,W 1,Dean Smith Center
